score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=1000|time=2025-04-11T04:11:09
100.0,7519727.0,C++,1728631550003,1629759,MSz,PL,95180546328327,
100.0,7144386.0,C++,1728632070015,484004,aCat,PL,4210501575817,
100.0,7127495.0,PHP,1730293355670,4618693,cedricdd,FR,85418008807758,
100.0,7057984.0,C++,1728647130602,4067707,therealbeef,KR,54066924332220,
100.0,7028260.0,C++,1728632070015,186179,Nagrarok,FR,95596601515650,
100.0,6998190.0,C++,1728661959600,3582302,sullyper,US,82736264843841,
100.0,6996901.0,C++,1728631050010,6132235,FrictionlessBananas,US,,
100.0,6936810.0,C++,1728638707754,351062,Neumann,FR,17173563008577,
100.0,6900440.0,Java,1731332665904,893541,wala,FR,97577641170180,
100.0,6885576.0,C++,1728690359022,3914050,3.14IQ,MA,105929803050881,
100.0,6762728.0,C++,1728914678958,3193653,karliso,LV,54368321987353,
100.0,6727519.0,C++,1728631110036,1630890,Wld,DE,54135389391511,
100.0,6678818.0,C++,1728631050010,1082988,Saelyos,FR,6965824947540,
100.0,6640607.0,C++,1728631550003,4056249,marwar22,PL,105975464579688,
100.0,6606629.0,C++,1728632070015,154984,_Royale,FR,17869369984436,
100.0,6554809.0,C++,1728631480019,2055763,levelrusso,IL,116557169133144,
100.0,6484627.0,Rust,1733578075549,5354517,AndreasHuber,CH,103693383515460,
100.0,6469995.0,C++,1728632070015,5012032,L.Industrieux.Ulysse,FR,130895620025389,
100.0,6444354.0,C++,1728631480019,4063805,viewlagoon,JP,106899386459507,
100.0,6429534.0,Java,1729059283948,3235897,Zylo,PL,25779784253696,
100.0,6333266.0,C++,1728630750027,6131138,leander314,FR,125232365678871,
100.0,6277770.0,C,1728932472020,2924895,trictrac,FR,23056996012330,
100.0,6269782.0,Rust,1728651435206,4440113,Blazde,GB,69548844472630,
100.0,6245039.0,C++,1728675572839,2469268,DDesobry,FR,124517909929979,
100.0,6231714.0,C#,1728630750027,1378958,Illedan,NO,16222515698472,
100.0,6166593.0,Python3,1731226953547,6172043,PetyFloyd,SK,126527665690517,
100.0,6154367.0,C++,1728946159599,4897576,GSpryszynski,PL,105788129732450,
100.0,6149802.0,C++,1728632070015,2350415,Vintarel,FR,17502555674515,
100.0,6149156.0,C#,1730553582185,1290569,a76a44,FR,42968987928916,
100.0,6124750.0,Javascript,1728712694971,1829792,OneMoreGame,AT,10837674727376,
100.0,6095992.0,Rust,1728633350006,2288263,dbdr,UA,43448306132121,
100.0,6026412.0,Java,1728631960015,4656268,Plefevre,FR,75138883803514,
100.0,5972762.0,C++,1728728217497,3498674,Sko0owi,PL,55177523597915,
100.0,5933563.0,Java,1729247159467,1341520,egaetan,FR,21055353954161,
100.0,5905697.0,C++,1728631410006,672318,mpt,DE,85827945905476,
100.0,5898716.0,Java,1728643136480,2569661,N0sf3,FR,18196432000233,
