score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=12|time=2025-08-27T04:11:20
100.0,98376.0,Javascript,1756214302308,1839941,Just4FunCoder,MY,80969549924201,
100.0,110750.0,Javascript,1751958287618,818641,Prizzio,ES,18396735547631,
100.0,112325.0,Javascript,1734128539275,3990164,adamsc,PL,,
100.0,120415.0,Javascript,1748631457421,2677877,KyanBlevins,US,75540586313988,
100.0,122864.0,Javascript,1750794739560,6672932,Phoenix060714,HK,145274200217597,
100.0,137585.0,Javascript,1741423073513,5298641,RTJ,FR,97115384435155,
100.0,230816.0,Javascript,1731933394248,6350224,MiaRakoto,MG,132832885072320,
100.0,250151.0,Javascript,1725030523797,4148107,Askr,FR,,
100.0,317295.0,Javascript,1730283456324,3737797,lbadet,FR,42528900173646,
100.0,321374.0,Javascript,1725867302736,2110342,lchenay,FR,68642008923579,
7.6923076923076925,22690.0,Javascript,1724747327800,5163410,LOKI_78,LU,93367947956362,
7.6923076923076925,22690.0,Javascript,1733234219653,6384747,coloderch,FR,,
