score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=18|time=2023-12-25T04:07:54
100.0,176.0,TypeScript,1687986033715,5500874,Maan511,DK,,
100.0,181.0,TypeScript,1692380373315,3559724,dan_the_bloke,GB,,
100.0,187.0,TypeScript,1695380546910,2990918,Dingodino,FR,23216166624189,
100.0,203.0,TypeScript,1681233053214,4549399,Cptn-Darktomate,FR,82214507302162,
100.0,204.0,TypeScript,1689872261554,1148291,CouteauFourchette,CH,,
100.0,212.0,TypeScript,1683908047179,3317583,Mjo,FR,,
100.0,215.0,TypeScript,1699915940845,4006527,RakaWhaim,FR,,
100.0,240.0,TypeScript,1686745190928,1931039,MooMooN,FR,11972180817471,
100.0,255.0,TypeScript,1699793100517,1291259,Loupsalio,FR,82188422117537,
100.0,258.0,TypeScript,1702770564887,3922753,deuwii,FR,115375120201967,
100.0,267.0,TypeScript,1695059712226,1604295,SergeyShirokov,RU,12159441339558,
100.0,359.0,TypeScript,1682242279942,2470803,Snoopx,FR,83465608212494,
100.0,987.0,TypeScript,1697724884654,1818624,lepit31,FR,10775922089642,
0.0,50.0,TypeScript,1677965334785,5370273,Buix,BY,99815081126426,
0.0,50.0,TypeScript,1678147123864,5372913,NellyBrooke,AU,,
0.0,50.0,TypeScript,1678715938659,1475413,AlucardDH,FR,4898493641535,
0.0,50.0,TypeScript,1679116081286,5371156,0x21~,MX,100356163750729,
0.0,50.0,TypeScript,1679312385979,3171976,horvbalazs,HU,25768970056823,
